Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2012-09-18;54768.0;16.2;16.6
2013-04-18;56211.0;14.3;12.3
2012-09-23;46577.0;17.9;16.0
2013-04-25;55591.0;17.2;13.2
2012-09-24;54911.0;17.3;15.9
2013-04-26;57456.0;13.0;13.3
2012-09-29;49883.0;13.5;15.2
2013-05-02;59825.0;12.4;14.1
2012-10-06;49777.0;16.6;14.3
2013-05-09;47356.0;14.2;15.0
2012-10-07;48955.0;15.8;14.2
2013-05-18;53280.0;11.4;16.0
2012-10-09;57566.0;17.0;13.9
2013-05-29;60980.0;10.6;17.2
2012-10-11;58161.0;15.7;13.6
2013-05-30;61773.0;11.7;17.3
2012-10-13;52485.0;11.1;13.4
2013-06-06;55009.0;19.5;18.0
2012-10-15;62290.0;9.9;13.1
2013-06-15;48007.0;17.5;18.9
2012-10-19;58313.0;16.1;12.6
2013-06-17;55094.0;20.8;19.1
2012-10-21;50115.0;16.5;12.3
2013-06-19;56439.0;20.2;19.2
2012-11-13;73810.0;7.4;9.0
2013-07-01;54301.0;18.8;20.2
2012-11-29;80609.0;5.3;6.8
2013-07-07;47112.0;23.3;20.6
2012-12-03;80560.0;6.3;6.3
2013-07-13;48807.0;20.9;20.9
2012-12-07;84188.0;3.0;5.9
2013-07-17;56992.0;23.1;21.1
2012-12-11;88221.0;1.8;5.5
2013-07-19;56089.0;23.1;21.2
2012-12-16;66644.0;8.8;5.2
2013-07-26;56214.0;24.6;21.2
2012-12-18;76955.0;7.5;5.0
2013-08-01;54465.0;25.7;21.2
2012-12-20;77047.0;7.4;4.9
2013-08-08;48358.0;19.0;20.9
2012-12-21;72671.0;7.5;4.9
2013-08-16;47435.0;21.2;20.4
2013-01-03;74649.0;7.1;4.6
2013-08-22;51087.0;21.5;19.9
2013-01-07;78805.0;5.9;4.6
2013-08-24;46264.0;19.3;19.6
2013-01-13;72712.0;3.6;4.8
2013-09-01;44797.0;17.8;18.8
2013-01-19;82866.0;1.3;5.0
2013-09-11;55513.0;14.4;17.5
2013-01-23;86621.0;2.7;5.2
2013-09-19;56021.0;14.7;16.5
2013-01-26;79901.0;2.1;5.3
2013-09-20;55171.0;16.2;16.4
2013-01-28;81599.0;6.5;5.4
2013-09-30;54268.0;16.7;15.1
2013-02-09;78398.0;1.9;6.0
2013-10-07;55161.0;15.1;14.2
2013-02-17;70858.0;3.5;6.5
2013-10-25;56852.0;17.2;11.7
2013-02-22;86046.0;-0.5;6.8
2013-10-26;49817.0;17.5;11.6
2013-03-01;83005.0;3.5;7.2
2013-10-29;62565.0;11.3;11.1
2013-03-06;71564.0;10.6;7.6
2013-10-30;63621.0;9.6;11.0
2013-03-08;66656.0;11.3;7.8
2013-11-06;65877.0;14.4;10.0
2013-03-10;61974.0;8.3;7.9
2013-11-08;64170.0;12.2;9.7
2013-03-11;76612.0;6.0;8.0
2013-11-09;59499.0;9.9;9.5
2013-03-24;64559.0;7.3;9.2
2013-11-12;71146.0;9.1;9.1
2013-04-03;75247.0;6.4;10.4
2013-11-14;75400.0;7.3;8.8
2013-04-10;69252.0;10.8;11.2
2013-11-17;65828.0;5.9;8.4
2013-04-12;65478.0;11.2;11.5
2013-11-21;82895.0;3.8;7.8
2013-04-16;57209.0;15.1;12.0
2013-11-26;81353.0;4.5;7.2
2013-04-17;56361.0;17.3;12.1
2013-11-28;85088.0;2.3;6.9
2013-04-19;58356.0;10.3;12.4
2013-12-01;71180.0;4.5;6.5
2013-04-22;60124.0;10.6;12.8
2013-12-09;83636.0;2.9;5.7
2013-05-22;61249.0;12.3;16.5
2013-12-11;82971.0;3.1;5.5
2013-05-25;57647.0;9.6;16.8
2013-12-21;70156.0;6.0;4.9
2013-06-13;55602.0;17.1;18.7
2013-06-18;56361.0;21.4;19.1
2013-06-24;54372.0;14.6;19.7
2013-06-27;55035.0;15.9;19.9
2013-07-09;57082.0;23.1;20.7
2013-07-11;56094.0;20.0;20.9
2013-07-20;48915.0;24.0;21.2
2013-07-27;48760.0;24.1;21.2
2013-07-28;45371.0;21.6;21.2
2013-08-02;53570.0;25.1;21.1
2013-08-03;45990.0;22.1;21.1
2013-08-04;45265.0;22.1;21.1
2013-08-07;49273.0;19.1;20.9
2013-08-11;43282.0;19.8;20.7
2013-08-13;48182.0;18.8;20.6
2013-08-14;48220.0;18.9;20.5
2013-08-17;44426.0;21.5;20.3
2013-08-19;49792.0;19.8;20.1
2013-08-21;50348.0;20.2;19.9
2013-08-28;53583.0;18.6;19.2
2013-09-05;55949.0;22.6;18.3
2013-09-07;47705.0;16.9;18.0
2013-09-08;44079.0;16.2;17.9
2013-09-17;56286.0;13.8;16.8
2013-09-18;56615.0;16.4;16.6
2013-09-27;54454.0;19.5;15.5
2013-10-02;55756.0;17.8;14.8
2013-10-05;48558.0;16.3;14.4
2013-10-09;56835.0;15.0;13.9
2013-10-12;55187.0;8.9;13.5
2013-10-17;59703.0;14.6;12.8
2013-10-22;58097.0;18.1;12.1
2013-10-28;59829.0;15.1;11.3
2013-10-31;63196.0;9.5;10.9
2013-11-03;55641.0;11.2;10.4
2013-11-07;64733.0;14.4;9.8
2013-11-10;57167.0;9.7;9.4
2013-11-11;62552.0;7.5;9.2
2013-11-15;74966.0;6.6;8.7
2013-11-18;77592.0;6.3;8.2
2013-11-19;79742.0;6.0;8.1
2013-11-22;82645.0;3.6;7.7
2013-11-30;72757.0;5.8;6.7
2013-12-03;82432.0;3.2;6.3
2013-12-14;72807.0;5.9;5.3
2013-12-19;76658.0;8.2;5.0
2013-12-29;65596.0;5.8;4.6
2013-01-01;61771.0;7.3;4.6
2013-01-09;82006.0;4.1;4.7
2013-01-10;79662.0;6.3;4.7
2013-01-17;92630.0;-1.9;4.9
2013-01-25;88435.0;-0.2;5.2
2013-01-27;74296.0;5.3;5.3
2013-01-29;78575.0;9.1;5.4
2013-02-01;73319.0;9.3;5.6
2013-02-02;72981.0;5.5;5.6
2013-02-04;78513.0;8.0;5.8
2013-02-08;82535.0;2.6;6.0
2013-02-10;77227.0;2.4;6.1
2013-03-02;76021.0;3.4;7.3
2013-03-12;81575.0;2.9;8.1
2013-03-14;82780.0;1.9;8.3
2013-03-16;74096.0;5.1;8.4
2013-03-18;78545.0;5.4;8.6
2013-03-23;62447.0;9.2;9.1
2013-03-25;73363.0;6.4;9.3
2013-03-26;74329.0;5.5;9.4
2013-03-30;68600.0;5.8;9.9
2013-04-08;72376.0;7.7;11.0
2013-04-11;65875.0;12.1;11.4
2013-04-24;57929.0;14.8;13.1
2013-04-27;55343.0;7.9;13.5
2013-04-30;63568.0;10.9;13.8
2013-05-01;54995.0;11.9;14.0
2013-05-05;49547.0;14.1;14.5
2013-05-07;54518.0;15.9;14.7
2013-05-10;51808.0;12.6;15.1
2013-05-11;49360.0;12.8;15.2
2013-05-13;57415.0;13.2;15.4
2013-05-17;58889.0;11.3;15.9
2013-05-21;61879.0;11.9;16.3
2013-05-27;57502.0;13.0;17.0
2013-05-28;59635.0;11.8;17.1
2013-06-09;45646.0;14.9;18.3
2013-06-16;45967.0;19.1;19.0
2013-06-21;55040.0;16.8;19.4
2013-06-22;48245.0;17.2;19.5
2013-07-04;55679.0;18.2;20.4
2013-07-05;55499.0;20.3;20.5
2013-07-06;48775.0;21.8;20.6
2013-07-18;56677.0;22.6;21.1
2013-07-21;48115.0;25.3;21.2
2013-07-23;57430.0;23.7;21.2
2013-08-05;50827.0;22.7;21.0
2013-08-09;48425.0;19.6;20.8
2013-08-25;43598.0;16.3;19.5
2013-08-26;51746.0;17.8;19.4
2013-09-06;55032.0;19.3;18.2
2013-09-09;53530.0;15.8;17.8
2013-09-10;54026.0;15.8;17.7
2013-09-22;45586.0;17.4;16.1
2013-09-28;48376.0;18.9;15.3
2013-10-01;55461.0;16.9;15.0
2013-10-03;55492.0;18.8;14.7
2013-10-06;47102.0;15.2;14.3
2013-10-08;56003.0;15.1;14.0
2013-10-10;59246.0;11.3;13.8
2013-10-11;59862.0;9.2;13.6
2013-10-16;61754.0;14.3;13.0
2013-10-19;51905.0;15.7;12.6
2013-10-20;49311.0;16.0;12.4
2013-10-21;57766.0;16.6;12.3
2013-10-23;57776.0;16.9;12.0
2013-10-24;58242.0;14.9;11.9
2013-11-01;56462.0;10.7;10.7
2013-11-13;72454.0;8.6;9.0
2013-11-20;83660.0;3.8;8.0
2013-12-02;81582.0;5.1;6.4
2013-12-04;83152.0;4.4;6.2
2013-12-07;71716.0;4.6;5.9
2013-12-12;83850.0;3.2;5.5
2013-12-16;77903.0;7.0;5.2
2013-12-23;68583.0;9.5;4.8
2012-01-05;78351.0;9.2;4.6
2012-01-06;77587.0;6.8;4.6
2012-01-16;85540.0;1.4;4.9
2012-01-18;86144.0;3.3;4.9
2012-01-24;78513.0;7.2;5.2
2012-02-07;100430.0;-4.8;5.9
2012-02-18;71331.0;6.4;6.5
2012-02-21;82403.0;2.9;6.7
2012-01-07;68591.0;7.5;4.6
2012-03-05;75789.0;5.9;7.5
2012-01-22;64664.0;9.4;5.1
2012-03-08;74243.0;6.7;7.8
2012-02-05;89954.0;-4.5;5.8
2012-03-11;61026.0;9.7;8.0
2012-02-08;101867.0;-4.9;6.0
2012-03-12;68275.0;10.4;8.1
2012-02-09;99420.0;-3.8;6.0
2012-03-14;65862.0;10.6;8.3
2012-02-10;96698.0;-2.9;6.1
2012-03-16;63138.0;12.3;8.4
2012-02-16;82282.0;6.0;6.4
2012-03-18;60999.0;7.9;8.6
2012-02-20;80732.0;2.7;6.7
2012-03-24;54863.0;13.6;9.2
2012-02-25;64930.0;9.1;7.0
2012-03-26;58569.0;14.4;9.4
2012-02-28;72887.0;7.9;7.2
2012-04-11;65840.0;11.3;11.4
2012-02-29;70975.0;9.1;7.2
2012-04-23;66200.0;8.8;12.9
2012-03-03;62083.0;9.2;7.4
2012-04-26;64236.0;12.7;13.3
2012-03-07;76591.0;5.2;7.7
2012-04-27;62534.0;12.7;13.5
2012-03-17;58986.0;10.7;8.5
2012-04-28;55384.0;14.1;13.6
2012-03-20;70661.0;7.6;8.8
2012-04-29;52684.0;13.7;13.7
2012-03-21;68580.0;10.2;8.9
2012-04-30;55939.0;12.3;13.8
2012-03-22;64552.0;12.6;9.0
